"Category","Fields of Research"
"09 Engineering",115
"08 Information and Computing Sciences",39
"11 Medical and Health Sciences",38
"01 Mathematical Sciences",35
"04 Earth Sciences",34
"06 Biological Sciences",22
"03 Chemical Sciences",16
"12 Built Environment and Design",16
"05 Environmental Sciences",13
"02 Physical Sciences",12
"14 Economics",11
"17 Psychology and Cognitive Sciences",6
"10 Technology",3
"15 Commerce, Management, Tourism and Services",3
"07 Agricultural and Veterinary Sciences",1
"16 Studies in Human Society",1
"21 History and Archaeology",1
