"Category","Fields of Research"
"09 Engineering",155
"08 Information and Computing Sciences",64
"04 Earth Sciences",53
"01 Mathematical Sciences",52
"11 Medical and Health Sciences",46
"06 Biological Sciences",31
"12 Built Environment and Design",22
"03 Chemical Sciences",21
"02 Physical Sciences",19
"05 Environmental Sciences",16
"14 Economics",15
"17 Psychology and Cognitive Sciences",10
"15 Commerce, Management, Tourism and Services",5
"10 Technology",4
"07 Agricultural and Veterinary Sciences",2
"16 Studies in Human Society",2
"21 History and Archaeology",2
